time, x, y, heading, vel_x, vel_y, vel_heading,
0.464, 0.032208, -0.000687045, 0.000673181, 0.0759319, -0.00275125, 0.0412543, 
0.472, 0.0328154, -0.000711105, 0.0010032, 0.0759313, -0.00300749, 0.0412521, 
0.48, 0.0334229, -0.000736988, 0.00133322, 0.075931, -0.00323541, 0.041253, 
0.488, 0.0339381, -0.00075111, 0.00117079, 0.0644036, -0.00176528, -0.0203034, 
0.496, 0.0344529, -0.000745444, 0.00100139, 0.0643533, 0.000708215, -0.0211752, 
0.504, 0.0349677, -0.00073328, 0.000825554, 0.0643442, 0.0015205, -0.02198, 
0.512, 0.0354824, -0.000718297, 0.00064637, 0.0643414, 0.00187295, -0.022398, 
0.52, 0.0360837, -0.00069717, 0.000969531, 0.0751607, 0.00264086, 0.0403952, 
0.528, 0.0366854, -0.000660109, 0.00130895, 0.0752081, 0.00463256, 0.0424271, 
0.536, 0.0372871, -0.000619423, 0.00164858, 0.0752171, 0.00508573, 0.0424535, 
0.544, 0.0378889, -0.000578655, 0.00198892, 0.0752202, 0.00509599, 0.0425427, 
0.552, 0.0383984, -0.000561209, 0.00183262, 0.0636922, 0.0021808, -0.0195366, 
0.56, 0.0389075, -0.000542789, 0.00167401, 0.0636424, 0.00230245, -0.0198267, 
0.568, 0.0394166, -0.000523785, 0.00151202, 0.0636332, 0.00237557, -0.0202494, 
0.576, 0.0399256, -0.000504274, 0.00134788, 0.06363, 0.00243885, -0.0205164, 
0.584, 0.0405262, -0.000478022, 0.00170385, 0.0750668, 0.00328145, 0.0444958, 
0.592, 0.0411271, -0.000435173, 0.00206757, 0.0751167, 0.00535624, 0.0454645, 
0.6, 0.0417281, -0.000388744, 0.00243168, 0.075126, 0.00580351, 0.0455138, 
0.608, 0.0423291, -0.00034239, 0.00279672, 0.0751291, 0.0057943, 0.045631, 
0.616, 0.0428447, -0.000321999, 0.00262185, 0.0644388, 0.00254885, -0.0218588, 
0.624, 0.0433598, -0.000300705, 0.0024448, 0.0643926, 0.00266179, -0.022132, 
0.632, 0.0438749, -0.000278873, 0.00226534, 0.0643839, 0.00272906, -0.0224323, 
0.64, 0.0443899, -0.000256579, 0.00208419, 0.0643808, 0.00278673, -0.0226444, 
0.648, 0.0449942, -0.00022786, 0.00244306, 0.0755373, 0.00358979, 0.04486, 
0.656, 0.0455989, -0.000183104, 0.00280769, 0.0755858, 0.00559455, 0.0455787, 
0.664, 0.0462037, -0.000136107, 0.00317305, 0.0755948, 0.00587467, 0.0456695, 
0.672, 0.0468084, -8.91737e-05, 0.00353942, 0.0755978, 0.00586661, 0.0457967, 
0.68, 0.0473324, -7.34497e-05, 0.00340317, 0.065489, 0.0019655, -0.0170312, 
0.688, 0.0478559, -5.68929e-05, 0.00326468, 0.0654454, 0.00206959, -0.017312, 
0.696, 0.0483794, -3.97866e-05, 0.00312412, 0.065437, 0.00213829, -0.0175698, 
0.704, 0.0489029, -2.22021e-05, 0.00298204, 0.0654341, 0.00219807, -0.01776, 
0.712, 0.0495086, 1.08674e-06, 0.0033319, 0.0757142, 0.0029111, 0.0437329, 
0.72, 0.0501147, 3.89752e-05, 0.00368657, 0.0757589, 0.00473605, 0.0443334, 
0.728, 0.0507208, 7.98246e-05, 0.00404229, 0.0757671, 0.00510617, 0.044465, 
0.736, 0.051327, 0.000120345, 0.00439912, 0.0757698, 0.00506501, 0.0446035, 
0.744, 0.0518417, 0.00013818, 0.00424995, 0.0643421, 0.0022294, -0.0186457, 
0.752, 0.052356, 0.000156945, 0.00409805, 0.0642927, 0.00234558, -0.0189876, 
0.76, 0.0528703, 0.000176245, 0.003944, 0.0642834, 0.00241256, -0.0192567, 
0.768, 0.0533845, 0.000196009, 0.00378842, 0.0642802, 0.00247053, -0.019447, 
0.776, 0.0539005, 0.000215699, 0.0036351, 0.0644936, 0.00246118, -0.0191653, 
0.784, 0.0544165, 0.000235666, 0.00348108, 0.0644946, 0.00249591, -0.0192525, 
0.792, 0.0549324, 0.000255869, 0.00332647, 0.0644951, 0.00252536, -0.0193258, 
0.8, 0.0554484, 0.000276248, 0.00317139, 0.0644956, 0.00254734, -0.0193857, 
0.808, 0.0560585, 0.000304543, 0.00349539, 0.0762634, 0.00353687, 0.0405005, 
0.816, 0.056669, 0.000345643, 0.00382334, 0.0763149, 0.00513759, 0.0409941, 
0.824, 0.0572796, 0.000387896, 0.00415221, 0.0763242, 0.00528152, 0.0411081, 
0.832, 0.0578902, 0.000430181, 0.00448243, 0.0763272, 0.00528574, 0.0412771, 
0.84, 0.0584015, 0.000446451, 0.00434732, 0.0639139, 0.00203368, -0.0168888, 
0.848, 0.0589124, 0.000463512, 0.00421057, 0.06386, 0.00213257, -0.0170929, 
0.856, 0.0594232, 0.000481032, 0.00407191, 0.0638498, 0.00219012, -0.017333, 
0.864, 0.059934, 0.000498965, 0.00393183, 0.0638461, 0.00224152, -0.0175094, 
0.872, 0.0605462, 0.000524481, 0.0042139, 0.0765313, 0.00318956, 0.0352589, 
0.88, 0.0611589, 0.000561185, 0.00450085, 0.0765864, 0.004588, 0.035868, 
0.888, 0.0617717, 0.000598832, 0.00478869, 0.0765964, 0.00470582, 0.0359806, 
0.896, 0.0623845, 0.000636957, 0.00507758, 0.0765998, 0.00476572, 0.036111, 
0.904, 0.0628933, 0.000655767, 0.00492349, 0.063597, 0.00235122, -0.0192617, 
0.912, 0.0634016, 0.000675502, 0.00476711, 0.0635407, 0.0024669, -0.0195477, 
0.92, 0.0639098, 0.000695748, 0.0046086, 0.0635302, 0.0025307, -0.0198136, 
0.928, 0.064418, 0.000716434, 0.00444858, 0.0635264, 0.00258579, -0.0200027, 
0.936, 0.0650201, 0.000743951, 0.00481386, 0.0752587, 0.00343965, 0.0456605, 
0.944, 0.0656226, 0.00078846, 0.00518433, 0.0753122, 0.00556357, 0.0463082, 
0.952, 0.0662252, 0.000836692, 0.00555596, 0.0753217, 0.00602896, 0.046454, 
0.96, 0.0668278, 0.000884877, 0.0059287, 0.0753248, 0.00602316, 0.0465932, 
0.968, 0.0673384, 0.000904482, 0.00577229, 0.0638257, 0.00245068, -0.0195517, 
0.976, 0.0678486, 0.00092496, 0.00561308, 0.0637761, 0.00255971, -0.0199009, 
0.984, 0.0683587, 0.000945952, 0.00545196, 0.0637668, 0.00262403, -0.0201409, 
0.992, 0.0688688, 0.000967376, 0.0052894, 0.0637635, 0.00267797, -0.0203195, 
1, 0.0694659, 0.000994932, 0.00590857, 0.074629, 0.00344453, 0.0773967, 
1.008, 0.0700635, 0.00103808, 0.00653409, 0.0747047, 0.00539345, 0.0781902, 
1.016, 0.0706612, 0.00108457, 0.00716089, 0.0747134, 0.00581068, 0.0783497, 
1.024, 0.0712589, 0.00113087, 0.00778885, 0.0747162, 0.0057878, 0.0784942, 
1.032, 0.0717614, 0.00115624, 0.00759531, 0.0628019, 0.00317132, -0.0241919, 
1.04, 0.0722634, 0.0011827, 0.00739775, 0.0627505, 0.00330741, -0.024695, 
1.048, 0.0727653, 0.00120964, 0.00719834, 0.062741, 0.00336794, -0.0249257, 
1.056, 0.0732672, 0.00123695, 0.00699756, 0.0627377, 0.00341378, -0.0250985, 
1.064, 0.0737715, 0.00124732, 0.00708183, 0.0630429, 0.00129609, 0.0105339, 
1.072, 0.0742759, 0.00125838, 0.00716881, 0.063044, 0.00138293, 0.0108724, 
1.08, 0.0747802, 0.00126842, 0.00725745, 0.0630447, 0.00125506, 0.0110805, 
1.088, 0.0752846, 0.00127718, 0.00734742, 0.0630452, 0.00109485, 0.0112458, 
1.096, 0.0757869, 0.00128435, 0.0074398, 0.0627896, 0.000895645, 0.0115475, 
1.104, 0.0762892, 0.00128966, 0.007533, 0.0627887, 0.000663737, 0.011651, 
1.112, 0.0767915, 0.00129335, 0.00762687, 0.0627887, 0.000461405, 0.0117339, 
1.12, 0.0772939, 0.00129546, 0.00772128, 0.0627888, 0.000263762, 0.0118003, 
1.128, 0.0778028, 0.0012994, 0.00768871, 0.0636167, 0.000492476, -0.00407075, 
1.136, 0.0783117, 0.00130332, 0.00765584, 0.0636204, 0.000490591, -0.00410889, 
1.144, 0.0788207, 0.00130768, 0.0076219, 0.0636211, 0.000544946, -0.00424272, 
1.152, 0.0793297, 0.00131282, 0.00758629, 0.0636215, 0.000641457, -0.00445084, 
1.16, 0.0798426, 0.00131639, 0.00762346, 0.0641194, 0.000446604, 0.0046464, 
1.168, 0.0803556, 0.00131904, 0.00766262, 0.0641216, 0.000331251, 0.0048941, 
1.176, 0.0808686, 0.00132067, 0.0077032, 0.064122, 0.000203525, 0.00507259, 
1.184, 0.0813816, 0.00132177, 0.00774492, 0.0641221, 0.000137943, 0.00521581, 
1.192, 0.0818973, 0.00132576, 0.0077416, 0.0644645, 0.000498553, -0.00041474, 
1.2, 0.082413, 0.00132976, 0.00773812, 0.0644656, 0.000499606, -0.000435743, 
1.208, 0.0829287, 0.00133375, 0.00773457, 0.0644658, 0.000499387, -0.000444145, 
1.216, 0.0834445, 0.00133774, 0.00773096, 0.0644658, 0.000499058, -0.000450939, 
1.224, 0.083962, 0.00134175, 0.0077238, 0.0646877, 0.000500438, -0.000895165, 
