time, light, accx, accy, accz,
3.232, 1.73466, -0.0838898, -0.00338474, 9.86794, 
3.264, 1.73846, 0.00802681, 0.0685817, 9.77498, 
3.296, 1.74581, -0.00875251, 0.043695, 9.80535, 
3.328, 1.7321, -0.0177847, 0.073689, 9.82334, 
3.36, 1.74841, -0.00024315, 0.00985946, 9.7831, 
3.392, 1.75409, -0.0405611, 0.0253894, 9.85547, 
3.424, 1.76192, -0.0285687, -0.100266, 9.89213, 
3.456, 1.77079, 0.0140114, 0.0791802, 9.8735, 
3.488, 1.77605, -0.00337557, 0.04405, 9.73702, 
3.52, 1.77324, -0.0777636, -0.0583792, 9.83335, 
3.552, 1.77496, 0.026305, -0.0578041, 9.73478, 
3.584, 1.77748, -0.00192551, 0.013982, 9.80789, 
3.616, 1.76943, -0.0426419, -0.00294687, 9.78492, 
3.648, 1.77575, -0.0331963, 0.0410434, 9.95376, 
3.68, 1.78109, 0.0065629, 0.0375204, 9.78393, 
3.712, 1.79239, 0.0443095, -0.0282434, 9.78804, 
3.744, 1.7839, -0.0104209, -0.0199798, 9.81852, 
3.776, 1.79988, 0.00149327, -0.0696258, 9.89204, 
3.808, 1.79315, -0.0293648, 0.0420727, 9.91348, 
3.84, 1.79498, -0.0237943, -0.0686945, 9.85495, 
3.872, 1.81742, -0.00974653, 0.0817138, 9.79603, 
3.904, 1.80742, 0.0982996, 0.0654851, 9.78361, 
3.936, 1.80865, -0.0439662, 0.0432777, 9.86574, 
3.968, 1.82732, -0.0208684, -0.0281288, 9.88603, 
4, 1.82834, 0.0265042, -0.0281288, 9.77979, 
4.032, 1.82183, 0.079783, -0.0595481, 9.84772, 
4.064, 1.82998, -0.0354895, 0.00491942, 9.83672, 
4.096, 1.83948, -0.0225705, 0.0166354, 9.86438, 
4.128, 1.84819, -0.0446641, -0.0131582, 9.84627, 
4.16, 1.84005, 0.106967, -0.0258859, 9.84602, 
4.192, 1.85837, 0.00640182, -0.0572193, 9.84336, 
4.224, 1.84392, -0.0274058, -0.02863, 9.7655, 
4.256, 1.85956, 0.0192731, -0.072138, 9.79223, 
4.288, 1.86683, -0.0041354, 0.0704698, 9.84132, 
4.32, 1.87822, 0.0982467, 0.0503669, 9.93604, 
4.352, 1.87464, -0.0366598, -0.0837557, 9.79444, 
4.384, 1.86726, -0.0332605, -0.0310916, 9.7594, 
4.416, 1.8899, 0.0717863, 0.0857695, 9.82485, 
4.448, 1.87656, 0.0474962, 0.0795058, 9.86442, 
4.48, 1.87843, -0.0542123, 0.0357658, 9.73132, 
4.512, 1.89645, 0.0595139, 0.0459086, 9.84233, 
4.544, 1.90543, 0.0299182, -0.0313275, 9.75146, 
4.576, 1.89059, -0.019397, -0.0404062, 9.87023, 
4.608, 1.88823, -0.0249362, -0.0727473, 9.85678, 
4.64, 1.90984, -0.0188442, 0.0074937, 9.78242, 
4.672, 1.91577, -0.0546695, 0.0293505, 9.86829, 
4.704, 1.90891, -0.0010948, -0.023924, 9.84165, 
4.736, 1.93307, -0.0279031, 0.00692757, 9.83795, 
4.768, 1.91717, -0.0952262, 0.0431843, 9.83584, 
4.8, 1.91236, 0.00823676, 0.00816682, 9.80157, 
4.832, 1.92001, 0.110988, 0.0396249, 9.80175, 
4.864, 1.92096, 0.0343902, 0.0107856, 9.87253, 
4.896, 1.95389, -0.0655863, -0.000984396, 9.93602, 
4.928, 1.9511, 0.0200877, 0.00340316, 9.80049, 
4.96, 1.95562, 0.0309001, 0.0799098, 9.82778, 
4.992, 1.93664, -0.0458524, -0.0491008, 9.80811, 
5.024, 1.9553, 0.0226078, -0.0827954, 9.76818, 
5.056, 1.95934, 0.0104008, 0.0159272, 9.8759, 
5.088, 1.96532, -0.0570332, 0.0747334, 9.75753, 
5.12, 1.97533, 0.0445527, -0.0985847, 9.81387, 
